id,rank,city
c1,1,"New York, NY"
c2,2,"Los Angeles, CA"
c3,3,"Chicago, IL"
c4,4,"Washington, DC"
c5,5,"San Francisco, CA"
c6,6,"Boston, MA"
c7,7,"Philadelphia, PA"
c8,8,"Dallas, TX"
c9,9,"Miami, FL"
c10,10,"Houston, TX"
c11,11,"Atlanta, GA"
c12,12,"Detroit, MI"
c13,13,"Seattle, WA"
c14,14,"Phoenix, AZ"
c15,15,"Minneapolis, MN"
c16,16,"Cleveland, OH"
c17,17,"Denver, CO"
c18,18,"San Diego, CA"
c19,19,"Portland, OR"
c20,20,"Orlando, FL"
c21,21,"St. Louis, MO"
c22,22,"Tampa, FL"
c23,23,"Pittsburgh, PA"
c24,24,"Sacramento, CA"
c25,25,"Charlotte, NC"
c26,26,"Kansas City, MO"
c27,27,"Salt Lake City, UT"
c28,28,"Columbus, OH"
c29,29,"Indianapolis, IN"
c30,30,"Las Vegas, NV"
c31,31,"San Antonio, TX"
c32,32,"Cincinnati, OH"
c33,33,"Milwaukee, WI"
