"rank","city","long","lat"
1,"New York, NY",-74.0059413,40.7127837
2,"Los Angeles, CA",-118.2436849,34.0522342
3,"Chicago, IL",-87.6297982,41.8781136
4,"Washington, DC",-77.0368707,38.9071923
5,"San Francisco, CA",-122.4194155,37.7749295
6,"Boston, MA",-71.0597732,42.3584308
7,"Philadelphia, PA",-75.163789,39.952335
8,"Dallas, TX",-96.8004511,32.7801399
9,"Miami, FL",-80.2040435,25.7890972
10,"Houston, TX",-95.3693896,29.7601927
11,"Atlanta, GA",-84.3879824,33.7489954
12,"Detroit, MI",-83.0457538,42.331427
13,"Seattle, WA",-122.3320708,47.6062095
14,"Phoenix, AZ",-112.0740373,33.4483771
15,"Minneapolis, MN",-93.26667,44.983334
16,"Cleveland, OH",-81.6943605,41.49932
17,"Denver, CO",-104.9847179,39.737567
18,"San Diego, CA",-117.1610838,32.715738
19,"Portland, OR",-122.6762071,45.5234515
20,"Orlando, FL",-81.3792365,28.5383355
21,"St. Louis, MO",-90.1994042,38.6270025
22,"Tampa, FL",-82.4571776,27.950575
23,"Pittsburgh, PA",-79.9958864,40.4406248
24,"Sacramento, CA",-121.4943996,38.5815719
25,"Charlotte, NC",-80.8431267,35.2270869
26,"Kansas City, MO",-94.5785667,39.0997265
27,"Salt Lake City, UT",-111.8910474,40.7607793
28,"Columbus, OH",-82.9987942,39.9611755
29,"Indianapolis, IN",-86.158068,39.768403
30,"Las Vegas, NV",-115.2383485,36.255123
31,"San Antonio, TX",-98.4936282,29.4241219
32,"Cincinnati, OH",-84.5120196,39.1031182
33,"Milwaukee, WI",-87.9064736,43.0389025
